Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
11150,27839,1.01625,0.000256551,0.0198283,46848,2.88264,0.365602,0.019638
11151,27920,1.01625,0.000248597,0.0209169,46960,3.07543,0.367317,0.0195911
11152,27222,1.01625,0.000259636,0.0204614,45742,2.81057,0.3658,0.0210091
11153,23752,1.01626,0.00026558,0.0187774,39643,2.8512,0.363529,0.0200792
11154,25455,1.01625,0.000253751,0.0192104,42763,3.07439,0.36656,0.0206253
11155,23000,1.01625,0.000260539,0.0203043,38620,2.73737,0.365035,0.0213102
11156,28486,1.01625,0.000247286,0.0196939,48068,2.88611,0.366134,0.0194724
11157,29454,1.01624,0.000244484,0.0189787,49778,3.07342,0.368234,0.0186227
11158,25193,1.01625,0.000258513,0.0201643,42219,2.79564,0.364645,0.0202989
11159,27905,1.01625,0.000249107,0.0192797,46846,2.8712,0.365255,0.0197029
11160,22325,1.01625,0.000259408,0.0200224,37160,3.12862,0.364618,0.0198062
11161,29054,1.01624,0.000240061,0.0202726,49160,2.91658,0.367828,0.0195077
11162,25795,1.01625,0.000256758,0.0190347,43520,3.03781,0.367466,0.0196232
11163,30380,1.01624,0.000238668,0.0211652,51321,2.76871,0.366918,0.020362
11164,28808,1.01624,0.000243632,0.020411,48924,3.01759,0.3683,0.0190704
11165,25064,1.01625,0.000258978,0.0192707,41885,2.91154,0.363565,0.0202459
11166,25381,1.01625,0.000255821,0.0193452,43210,2.93612,0.369503,0.0181671
11167,27025,1.01625,0.000249535,0.0202035,45214,2.80504,0.364035,0.0207016
11168,30007,1.01624,0.000239257,0.0181624,50710,2.84993,0.365618,0.0193847
11169,28792,1.01625,0.000245634,0.0196235,48303,3.02918,0.367133,0.0194191
11170,28852,1.01624,0.000237048,0.0206571,48911,2.91159,0.368623,0.0200159
11171,28033,1.01625,0.000259046,0.0203689,47575,3.07805,0.370499,0.0191067
11172,25773,1.01625,0.00025721,0.0205642,43065,2.93977,0.36455,0.0192964
11173,27337,1.01625,0.000247947,0.0207411,45905,3.09087,0.367565,0.0199543
11174,26554,1.01625,0.000262113,0.0185659,44882,2.91198,0.365687,0.0196961
11175,24633,1.01625,0.000260441,0.0211505,41440,2.92035,0.366485,0.0205357
11176,25185,1.01625,0.000251782,0.0184634,41987,3.02359,0.364393,0.0198871
11177,29172,1.01624,0.000241649,0.0206362,49650,2.89485,0.369704,0.0194965
11178,23319,21.0163,0.000294002,0.0,45338,35.6491,0.462492,0.000970488
11179,24864,21.0163,0.000278533,0.0,48451,35.8187,0.461789,0.000866855
11180,24698,21.0163,0.000276834,0.0,48247,35.6257,0.47016,0.00080834
11181,22966,21.0163,0.000296077,0.0,44564,35.9861,0.467434,0.000897585
11182,23092,21.0163,0.000289695,0.0,45255,35.5344,0.464359,0.000596619
11183,24093,21.0163,0.000283952,0.0,46836,35.4597,0.465526,0.00115296
11184,23525,21.0163,0.000290269,0.0,45621,35.153,0.469429,0.00118367
11185,23070,21.0163,0.000296701,0.0,44949,35.203,0.468353,0.00171305
11186,23288,21.0163,0.000293234,0.0,45241,35.4086,0.468746,0.00327137
11187,22185,21.0163,0.000302102,0.0,43335,35.5885,0.47235,0.000761509
11188,22034,21.0163,0.000312214,0.0,42590,34.0663,0.472202,0.0027706
11189,21649,21.0163,0.000308615,0.0,42343,36.1347,0.464758,0.00243252
11190,24033,21.0163,0.000285922,0.0,47320,35.5465,0.461948,0.00162722
11191,25351,21.0163,0.000270256,0.0,49429,35.6892,0.459704,0.000930628
11192,25704,21.0163,0.000269485,0.0,50120,36.2776,0.461889,0.00177574
11193,23985,21.0163,0.000286593,0.0,46583,34.6986,0.468916,0.0020823
11194,23919,21.0163,0.000287383,0.0,46768,35.7588,0.467897,0.000705611
11195,23255,21.0163,0.000295397,0.0,45226,35.8049,0.468315,0.00190156
11196,24656,21.0163,0.000278361,0.0,48099,35.8419,0.465236,0.00122664
11197,25493,21.0163,0.00026846,0.0,49847,36.1301,0.467425,0.000942885
11198,23300,21.0163,0.000292614,0.0,45645,35.0854,0.465131,0.000591522
11199,24594,21.0163,0.000278864,0.0,48126,36.3851,0.464691,0.00143374
11200,23437,21.0163,0.000291991,0.0,45915,36.0761,0.465446,0.00108897
11201,25065,21.0163,0.000274363,0.0,49266,36.4321,0.46071,0.0010149
11202,23529,21.0163,0.00028906,0.0,45726,35.4382,0.470682,0.00188077
11203,25141,21.0163,0.000275003,0.0,49245,36.1125,0.46638,0.00107625
11204,23419,21.0163,0.000291723,0.0,45468,35.1158,0.471602,0.0020234
11205,23574,21.0163,0.000285008,0.0,45777,35.6646,0.465222,0.00340782
11206,25113,21.0163,0.000276066,0.0,48739,35.5947,0.463681,0.0016414
11207,22645,21.0163,0.000302964,0.0,44137,34.3764,0.470131,0.00104221
